Fitness Function,Constraint,Constraint Handling Method,Particle Inertia,Personal Confidence,Swarm Confidence,Population Size,Particle Speed Limit,Final Fitness,Optimum Found After,Iterations,Environment
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,13,5,0.8815910760658799,23.033333333333335,30.766666666666666,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,13,10,0.9711108218467007,14.533333333333333,18.466666666666665,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,13,15,0.9566262138745599,12.2,15.8,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,13,20,0.9566679208636034,10.6,15.733333333333333,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,25,13,0.9855570990169027,10.233333333333333,11.5,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,50,13,1.0,7.5,7.5,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.3,0.8,1.6,100,13,1.0,6.366666666666666,6.366666666666666,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,0.5,0.8,1.6,13,13,0.9277854950845132,11.7,18.0,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Penalty Method,1.0,0.8,1.6,13,13,0.9710295000966092,28.6,36.86666666666667,"Langermann, Const4, Penalty"
Langermann,Constraint 4,Rejection Method,0.05,0.8,1.6,13,13,0.8626565317446626,13.533333333333333,45.7,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.1,0.8,1.6,13,13,0.8547032171270887,12.966666666666667,41.833333333333336,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.25,0.8,1.6,13,13,0.9168832280099689,15.233333333333333,35.5,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,1,13,0.1986502039728846,3.7,50.0,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,5,13,0.7097456361697952,12.5,47.7,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,10,13,0.8973314092952728,14.233333333333333,34.7,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,13,1,0.8321021509278019,25.766666666666666,50.0,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,13,5,0.8661133925819205,20.966666666666665,48.03333333333333,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,13,10,0.9391772644408768,15.933333333333334,35.46666666666667,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,13,15,0.9244605203297888,13.266666666666667,29.0,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,13,20,0.9382467769292673,10.6,24.533333333333335,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,25,13,0.9711108218467008,9.7,13.866666666666667,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,50,13,1.0,7.733333333333333,7.733333333333333,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.3,0.8,1.6,100,13,1.0,6.533333333333333,6.533333333333333,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,0.5,0.8,1.6,13,13,0.9647167142584737,14.6,22.0,"Langermann, Const4, Rejection"
Langermann,Constraint 4,Rejection Method,1.0,0.8,1.6,13,13,0.9854052194088195,30.7,37.1,"Langermann, Const4, Rejection"
Schaffer,Constraint 1,Penalty Method,0.05,0.8,1.6,13,13,0.9221003890111225,16.066666666666666,36.0,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.1,0.8,1.6,13,13,0.9087022658015067,15.433333333333334,40.333333333333336,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.25,0.8,1.6,13,13,0.9481384237736667,15.033333333333333,34.53333333333333,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,1,13,0.5644891304459331,4.633333333333334,50.0,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,5,13,0.6958794515245911,13.066666666666666,48.53333333333333,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,10,13,0.8403901250222842,15.833333333333334,42.733333333333334,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,13,1,0.8664745123775163,35.13333333333333,49.266666666666666,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,13,5,0.9095087149099077,21.533333333333335,37.2,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,13,10,0.9269882418287596,16.966666666666665,35.4,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,13,15,0.9100357855879829,14.9,30.5,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,13,20,0.924655449916859,15.566666666666666,37.1,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,25,13,0.9998120668384459,12.8,22.566666666666666,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,50,13,0.9999530167096115,9.033333333333333,11.933333333333334,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.3,0.8,1.6,100,13,1.0,8.866666666666667,8.866666666666667,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,0.5,0.8,1.6,13,13,0.9874139721601828,17.1,30.766666666666666,"Schaffer, without Const"
Schaffer,Constraint 1,Penalty Method,1.0,0.8,1.6,13,13,0.9998556739417299,23.066666666666666,30.6,"Schaffer, without Const"
Schaffer,Constraint 3,Penalty Method,0.05,0.8,1.6,13,13,0.9862345257889289,12.233333333333333,28.066666666666666,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.1,0.8,1.6,13,13,0.9862408887932184,15.033333333333333,25.4,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.25,0.8,1.6,13,13,0.9859563744929568,12.333333333333334,29.033333333333335,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,1,13,0.5893081891862857,4.566666666666666,50.0,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,5,13,0.8783989040420568,11.466666666666667,40.233333333333334,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,10,13,0.9364158485950358,14.466666666666667,30.833333333333332,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,13,1,0.984705165489719,26.566666666666666,47.233333333333334,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,13,5,0.9997650835480574,14.466666666666667,27.133333333333333,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,13,10,0.98654231363254,14.166666666666666,24.2,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,13,15,0.9851178087276524,13.0,28.966666666666665,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,13,20,0.9998120668384459,14.066666666666666,23.233333333333334,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,25,13,0.9998825417740286,10.133333333333333,17.3,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,50,13,0.9999530167096115,7.4,10.266666666666667,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.3,0.8,1.6,100,13,1.0,6.3,6.3,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,0.5,0.8,1.6,13,13,0.9998825417740286,13.533333333333333,20.8,"Schaffer, Const3, Penalty"
Schaffer,Constraint 3,Penalty Method,1.0,0.8,1.6,13,13,0.9997235123021162,19.4,24.466666666666665,"Schaffer, Const3, Penalty"
